                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.35589,                0.36082,                0.35572,                0.97154,                0.99546,                      1,                  0.995,                0.98078,                0.99546,                      1,                  0.995,                0.97066,                0.28768,                0.36609,                0.34052,                0.81538,              0.0006932,              0.0006932,              0.0006932
                     36,                0.37162,                0.40257,                0.35974,                  0.968,                0.99551,                      1,                  0.995,                0.96513,                0.99551,                      1,                  0.995,                 0.9794,                 0.2721,                0.45848,                0.32089,                  0.804,              0.0006536,              0.0006536,              0.0006536
                     37,                0.33202,                0.35523,                 0.3092,                0.95694,                0.96799,                      1,                  0.995,                 0.9679,                0.96799,                      1,                  0.995,                0.98429,                0.30082,                0.45984,                0.40539,                0.87185,               0.000614,               0.000614,               0.000614
                     38,                0.35777,                0.37822,                0.34093,                 0.9808,                0.99395,                      1,                  0.995,                0.96759,                0.99395,                      1,                  0.995,                0.98496,                0.32142,                0.37162,                0.34374,                0.87309,              0.0005744,              0.0005744,              0.0005744
                     39,                0.35283,                0.38496,                0.36128,                0.98168,                0.99492,                      1,                  0.995,                  0.995,                0.99492,                      1,                  0.995,                  0.995,                0.25021,                0.23788,                0.31351,                0.78207,              0.0005348,              0.0005348,              0.0005348
                     40,                0.31805,                0.31954,                0.31183,                0.93486,                0.99584,                      1,                  0.995,                  0.995,                0.99584,                      1,                  0.995,                  0.995,                0.26164,                0.19921,                0.29014,                0.79825,              0.0004952,              0.0004952,              0.0004952
                     41,                0.34804,                0.39925,                0.58719,                 1.0216,                0.99488,                      1,                  0.995,                0.95497,                0.99488,                      1,                  0.995,                  0.995,                0.35045,                0.19488,                0.45402,                0.88581,              0.0004556,              0.0004556,              0.0004556
                     42,                0.32415,                0.32033,                0.49648,                  1.016,                0.99598,                      1,                  0.995,                0.90126,                0.99598,                      1,                  0.995,                0.98702,                0.43721,                0.19638,                0.37654,                0.93733,               0.000416,               0.000416,               0.000416
                     43,                0.26473,                0.23557,                0.37728,                0.98906,                0.99538,                      1,                  0.995,                0.93784,                0.99538,                      1,                  0.995,                0.97905,                0.35369,                0.20932,                0.39961,                0.85041,              0.0003764,              0.0003764,              0.0003764
                     44,                0.27134,                0.26126,                0.37812,                0.98483,                0.99535,                      1,                  0.995,                0.94844,                0.99535,                      1,                  0.995,                0.98144,                0.32976,                0.35525,                0.36976,                0.86109,              0.0003368,              0.0003368,              0.0003368
                     45,                 0.2743,                0.25161,                0.35617,                0.97715,                0.99573,                      1,                  0.995,                0.98285,                0.99573,                      1,                  0.995,                0.98285,                0.25139,                 0.3609,                0.29839,                 0.7753,              0.0002972,              0.0002972,              0.0002972
                     46,                 0.2256,                0.20417,                0.35491,                0.94978,                0.99583,                      1,                  0.995,                0.98427,                0.99583,                      1,                  0.995,                0.98561,                0.23582,                0.31808,                0.28873,                0.74468,              0.0002576,              0.0002576,              0.0002576
                     47,                0.23873,                0.19699,                0.32793,                0.95306,                0.99574,                      1,                  0.995,                0.97904,                0.99574,                      1,                  0.995,                0.98636,                0.23261,                0.28596,                0.29805,                0.75469,               0.000218,               0.000218,               0.000218
                     48,                0.23321,                0.26638,                0.33526,                0.92346,                0.99584,                      1,                  0.995,                0.98636,                0.99584,                      1,                  0.995,                0.98636,                0.21028,                 0.2666,                0.24551,                0.72723,              0.0001784,              0.0001784,              0.0001784
                     49,                0.22606,                0.20102,                0.32836,                0.96909,                0.99611,                      1,                  0.995,                  0.995,                0.99611,                      1,                  0.995,                  0.995,                0.21702,                0.26119,                0.27336,                0.72816,              0.0001388,              0.0001388,              0.0001388
                     50,                0.22889,                0.26709,                0.31305,                0.94694,                0.99623,                      1,                  0.995,                  0.995,                0.99623,                      1,                  0.995,                  0.995,                0.20544,                0.25558,                0.26377,                0.71785,               9.92e-05,               9.92e-05,               9.92e-05
