                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.69453,                 1.3062,                0.63091,                 1.1683,                0.95215,                0.86526,                0.95866,                0.64317,                0.93443,                0.76087,                 0.7958,                0.50666,                 1.0495,                 2.2807,                0.78054,                 1.6845,              0.0010694,              0.0010694,              0.0010694
                     49,                0.68292,                 1.2809,                0.60847,                 1.1468,                0.83125,                0.93478,                0.93112,                  0.625,                0.84057,                0.73913,                0.79682,                0.53373,                 1.1792,                 2.3954,                0.98719,                 1.8994,              0.0010496,              0.0010496,              0.0010496
                     50,                0.69796,                 1.2712,                0.61285,                 1.1618,                0.97098,                0.91304,                0.96686,                0.69258,                 0.8702,                0.80435,                0.83909,                0.54112,                0.98412,                 1.7636,                0.81338,                 1.5953,              0.0010298,              0.0010298,              0.0010298
                     51,                0.67584,                 1.2369,                0.56728,                 1.1295,                 0.9771,                0.86957,                 0.9697,                0.63145,                0.91253,                0.69565,                0.73568,                0.44455,                 1.1501,                 2.4467,                0.83102,                 1.7171,                0.00101,                0.00101,                0.00101
                     52,                0.69843,                 1.3142,                0.59744,                 1.1534,                0.97032,                0.86957,                0.95958,                 0.6581,                0.82813,                0.78261,                 0.7762,                0.48944,                 1.1033,                 2.3572,                0.82911,                 1.7782,              0.0009902,              0.0009902,              0.0009902
                     53,                0.67839,                 1.2751,                0.56837,                  1.145,                0.97597,                0.88293,                0.96878,                0.66473,                0.84191,                0.69565,                0.72258,                0.43541,                 1.0923,                 2.7647,                0.84307,                 1.7555,              0.0009704,              0.0009704,              0.0009704
                     54,                0.66593,                 1.2626,                0.54814,                 1.1401,                0.87024,                0.87485,                0.93024,                0.59802,                0.91691,                0.71972,                 0.7754,                0.45887,                  1.237,                 2.9569,                0.87616,                 1.9616,              0.0009506,              0.0009506,              0.0009506
                     55,                0.65019,                 1.1636,                0.53999,                 1.1243,                0.91612,                0.91304,                0.94616,                0.64673,                  0.809,                0.73913,                0.72765,                0.47918,                 1.0437,                 3.0258,                 0.8462,                 1.7282,              0.0009308,              0.0009308,              0.0009308
                     56,                0.61119,                 1.1472,                0.52604,                 1.0968,                0.89527,                0.93478,                0.94601,                0.64729,                0.84646,                0.78261,                 0.7718,                0.45684,                 1.0888,                 2.3549,                0.79832,                 1.7139,               0.000911,               0.000911,               0.000911
                     57,                0.63167,                 1.1833,                0.52517,                 1.1134,                0.93181,                0.89122,                0.94894,                 0.6333,                0.84682,                0.73913,                0.76352,                0.51171,                 1.1148,                 2.2812,                 0.7134,                 1.8779,              0.0008912,              0.0008912,              0.0008912
